cell_line	degree	mean_edge_sim	max_edge_sim	is_outlier	sample_id	cell_tech_id	cell_line_display
NGP	5	0.8121462810529677	0.8871324585617182	FALSE	NG-A0611_NGP_libLAB6082	NGP	NGP
IMR_32	5	0.8053884649269983	0.8657342869734869	FALSE	NG-A0611_IMR32_libLAB6079	IMR_32	IMR_32
LAN5	4	0.8431795450042922	0.8871324585617182	FALSE	NG-A0611_LAN5_libLAB6087	LAN5	LAN5
CHP_126	4	0.8074950506368945	0.8592569308705076	FALSE	NG-A0611_CHP126_libLAB6088	CHP_126	CHP_126
MHH_NB_11	4	0.7748839728455685	0.8491028533725498	FALSE	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	MHH_NB_11
KELLY	3	0.750787274263765	0.7714098922636046	FALSE	NG-A0611_KELLY_libLAB6075	KELLY	KELLY
CHP_134	2	0.8425687622435087	0.8657342869734869	FALSE	NG-A0611_CHP134_libLAB6074	CHP_134	CHP_134
NMB	2	0.7921085435056653	0.812807194747726	FALSE	NG-A0611_NMB_libLAB6080	NMB	NMB
LAN1	2	0.7824945966344538	0.8194032375135306	FALSE	NG-A0611_LAN1_libLAB6085	LAN1	LAN1
SIMA	1	0.7511502422598247	0.7511502422598247	FALSE	NG-A0611_SIMA_libLAB6086	SIMA	SIMA
CCLF_PEDS_0051_T	0	NA	NA	TRUE	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
GI_ME_N	0	NA	NA	TRUE	NG-A0611_GIMEN_libLAB6073	GI_ME_N	GI_ME_N
LAN2	0	NA	NA	TRUE	NG-A0611_LAN2_libLAB6083	LAN2	LAN2
LAN6	0	NA	NA	TRUE	NG-A0611_LAN6_libLAB6089	LAN6	LAN6
LS	0	NA	NA	TRUE	NG-A0611_LS_libLAB6078	LS	LS
NBL_S	0	NA	NA	TRUE	NG-A0611_NBLS_libLAB6077	NBL_S	NBL_S
SH_SY5Y	0	NA	NA	TRUE	NG-A0611_SHSY5Y_libLAB6081	SH_SY5Y	SH_SY5Y
SK_N_BE_2	0	NA	NA	TRUE	NG-A0611_SKNBE2_libLAB6076	SK_N_BE_2	SK_N_BE_2
