community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	EFM_192C	9	0.5871870300071782
10	1	IPH_926	4	0.5437379716060754
11	1	HCC_1143	3	0.7509607050532262
12	1	HDQ_P1	3	0.735625104028183
13	1	CAL_85_1	3	0.7275299160209134
14	1	MFM_223	3	0.6832928178380855
15	1	MCF_7	3	0.619233722720787
16	1	EVSA_T	3	0.5571544573044285
17	1	ETCC_006	2	0.6623507597916477
18	1	ETCC_007	2	0.6455094949374998
19	1	HS_578T	2	0.6074219693868685
2	1	BT_474	7	0.631826962095776
20	1	EFM_19	2	0.5931198805826869
21	1	MDA_MB_453	2	0.556017665342855
22	1	COLO_824	1	0.5687210659930778
23	1	CAL_120	0	NA
24	1	CAL_51	0	NA
25	1	DU_4475	0	NA
26	1	HCC_1937	0	NA
27	1	JIMT_1	0	NA
28	1	MDA_MB_231	0	NA
29	1	MDA_MB_468	0	NA
3	1	KPL_1	6	0.6205659375818653
4	1	CAL_148	6	0.5892831559912118
5	1	T_47D	5	0.5790682194678763
6	1	EFM_192B	4	0.6150798463951863
7	1	EFM_192A	4	0.6116730240611052
8	1	HCC_1599	4	0.5891473474574078
9	1	SK_BR_3	4	0.5692346492167883
