Module	Section	Sample Name	Source
Picard	AlignmentSummaryMetrics	SRR7828574	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828574_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR7828562	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828562_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR7828566	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828566_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR7828570	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828570_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR7828567	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828567_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR7828571	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828571_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR7828568	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828568_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR7828572	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828572_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR7828569	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828569_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR7828576	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828576_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR7828564	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828564_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR7828575	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828575_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR7828565	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828565_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR7828573	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828573_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR7828563	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828563_alignment_summary_metrics.txt
Picard	InsertSizeMetrics	SRR7828567	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828567_insert_size_metrics.txt
Picard	InsertSizeMetrics	SRR7828563	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828563_insert_size_metrics.txt
Picard	InsertSizeMetrics	SRR7828568	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828568_insert_size_metrics.txt
Picard	InsertSizeMetrics	SRR7828570	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828570_insert_size_metrics.txt
Picard	InsertSizeMetrics	SRR7828566	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828566_insert_size_metrics.txt
Picard	InsertSizeMetrics	SRR7828569	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828569_insert_size_metrics.txt
Picard	InsertSizeMetrics	SRR7828564	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828564_insert_size_metrics.txt
Picard	InsertSizeMetrics	SRR7828575	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828575_insert_size_metrics.txt
Picard	InsertSizeMetrics	SRR7828565	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828565_insert_size_metrics.txt
Picard	InsertSizeMetrics	SRR7828572	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828572_insert_size_metrics.txt
Picard	InsertSizeMetrics	SRR7828562	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828562_insert_size_metrics.txt
Picard	InsertSizeMetrics	SRR7828571	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828571_insert_size_metrics.txt
Picard	InsertSizeMetrics	SRR7828576	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828576_insert_size_metrics.txt
Picard	InsertSizeMetrics	SRR7828573	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828573_insert_size_metrics.txt
Picard	InsertSizeMetrics	SRR7828574	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828574_insert_size_metrics.txt
Picard	QualityYieldMetrics	SRR7828570_quality_yield_metrics	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828570_quality_yield_metrics.txt
Picard	QualityYieldMetrics	SRR7828576_quality_yield_metrics	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828576_quality_yield_metrics.txt
Picard	QualityYieldMetrics	SRR7828573_quality_yield_metrics	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828573_quality_yield_metrics.txt
Picard	QualityYieldMetrics	SRR7828575_quality_yield_metrics	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828575_quality_yield_metrics.txt
Picard	QualityYieldMetrics	SRR7828569_quality_yield_metrics	/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828569_quality_yield_metrics.txt
