affected_rule_or_output	category	why_it_must_be_rerun	input_dependency	exact_snakemake_command	safe_to_run_now	requires_internet_or_api	overwrites_existing_outputs	backup_existing_output_first	notes
build_pan_cancer_feature_expression_matrix	expression_matrix	Feature-restricted pan-cancer expression matrix uses the ordered clean feature list and is stale after the 125-gene source-family feature set replaced the 177-gene list.	results/unsupervised/pan_cancer/feature_space/pan_cancer_features_clean.txt	cd /work/ugbogu/pipeline && /work/ugbogu/.conda/envs/smk/bin/snakemake --cores 8 --config pipeline_profile=multicohort_cancer --rerun-triggers mtime -- /work/ugbogu/pipeline/results/unsupervised/pan_cancer/inputs/pan_cancer_feature_expr.rds	yes	no	yes	yes	Regenerates pan_cancer_feature_expr.rds and pan_cancer_feature_expr_metadata.tsv.
build_pan_cancer_feature_expression_matrix_cell_lines_only	expression_matrix	Cell-line-only feature matrix uses the ordered clean feature list and is stale after the feature-set replacement.	results/unsupervised/pan_cancer/feature_space/pan_cancer_features_clean.txt	cd /work/ugbogu/pipeline && /work/ugbogu/.conda/envs/smk/bin/snakemake --cores 8 --config pipeline_profile=multicohort_cancer --rerun-triggers mtime -- /work/ugbogu/pipeline/results/unsupervised/pan_cancer/inputs/pan_cancer_feature_expr_cell_lines_only.rds	yes	no	yes	yes	Regenerates cell-line-only expression RDS and metadata TSV.
build_gprofiler_by_cohort_query_sets	enrichment_query_prep	Cohort g:Profiler query files are built directly from pan_cancer_features.tsv and must reflect new cohort, direction, and feature counts.	results/unsupervised/pan_cancer/feature_space/pan_cancer_features.tsv	cd /work/ugbogu/pipeline && /work/ugbogu/.conda/envs/smk/bin/snakemake --cores 4 --config pipeline_profile=multicohort_cancer --rerun-triggers mtime -- results/unsupervised/pan_cancer/enrichment/query_sets/gprofiler_by_cohort/query_manifest.tsv	yes	no	yes	yes	Local query preparation only; no g:Profiler call.
build_pan_cancer_enrichment_marker_framework_query_sets	enrichment_query_prep	Marker-framework query/background tables use pan_cancer_features.tsv and pan_cancer_features_clean.txt and must reflect source-family evidence classes.	results/unsupervised/pan_cancer/feature_space/pan_cancer_features.tsv;results/unsupervised/pan_cancer/feature_space/pan_cancer_features_clean.txt	cd /work/ugbogu/pipeline && /work/ugbogu/.conda/envs/smk/bin/snakemake --cores 4 --config pipeline_profile=multicohort_cancer --rerun-triggers mtime -- results/unsupervised/pan_cancer/enrichment/query_sets/marker_framework/query_manifest.tsv	yes	no	yes	yes	Local query/background validation only; patched to recognise new recurrence class names.
external_gprofiler_marker_framework_upload	enrichment_api	New marker-framework query sets require fresh g:Profiler enrichment results before enrichment summaries/heatmaps are valid.	results/unsupervised/pan_cancer/enrichment/query_sets/marker_framework/query_manifest.tsv	N/A - export fresh g:Profiler results for the regenerated marker-framework query sets, then place the export at results/unsupervised/pan_cancer/enrichment/gprofiler_exports/marker_framework_gprofiler_export.csv	no	yes	yes	yes	Requires internet/API or manual g:Profiler web upload; do not reuse old export.
build_pan_cancer_enrichment_selected_term_heatmap	enrichment_summary_plot	The selected-term heatmap parses the manual marker-framework g:Profiler export and uses the current feature table for source counts.	results/unsupervised/pan_cancer/enrichment/gprofiler_exports/marker_framework_gprofiler_export.csv;results/unsupervised/pan_cancer/feature_space/pan_cancer_features.tsv	cd /work/ugbogu/pipeline && /work/ugbogu/.conda/envs/smk/bin/snakemake --cores 4 --config pipeline_profile=multicohort_cancer --rerun-triggers mtime -- results/unsupervised/pan_cancer/enrichment/figures/marker_framework/marker_framework_enrichment_summary_top_terms.tsv	no	no	yes	yes	Safe only after a new marker_framework_gprofiler_export.csv is created from the new query sets.
plot_pan_cancer_tumour_cell_line_alignment_umap	feature_set_plot	UMAP plots and coordinate/source-composition tables depend on the feature-restricted expression matrix and clean DEG-set list.	results/unsupervised/pan_cancer/inputs/pan_cancer_feature_expr.rds;results/unsupervised/pan_cancer/feature_space/pan_cancer_features_clean.txt	cd /work/ugbogu/pipeline && /work/ugbogu/.conda/envs/smk/bin/snakemake --cores 8 --config pipeline_profile=multicohort_cancer --rerun-triggers mtime -- /work/ugbogu/pipeline/results/unsupervised/pan_cancer/tumour_cell_line_alignment_umap/summary_pan_cancer_tumour_cell_line_alignment_umap.tsv	yes	no	yes	yes	Dry-run showed this is downstream of the expression-matrix rebuild.
build_pan_cancer_cell_line_similarity_graph	cell_line_similarity	Graph edges and node metadata are computed from the cell-line-only feature matrix, which is stale.	results/unsupervised/pan_cancer/inputs/pan_cancer_feature_expr_cell_lines_only.rds	cd /work/ugbogu/pipeline && /work/ugbogu/.conda/envs/smk/bin/snakemake --cores 8 --config pipeline_profile=multicohort_cancer --rerun-triggers mtime -- /work/ugbogu/pipeline/results/unsupervised/pan_cancer/cell_line_similarity/pan_cancer_cell_line_graph_edges.tsv	yes	no	yes	yes	Regenerates graph edges and node metadata for the 125-gene feature space.
compute_pan_cancer_cell_line_communities	cell_line_similarity	Community calls and metrics depend on graph edges/node metadata from the new feature matrix.	results/unsupervised/pan_cancer/cell_line_similarity/pan_cancer_cell_line_graph_edges.tsv	cd /work/ugbogu/pipeline && /work/ugbogu/.conda/envs/smk/bin/snakemake --cores 8 --config pipeline_profile=multicohort_cancer --rerun-triggers mtime -- /work/ugbogu/pipeline/results/unsupervised/pan_cancer/cell_line_similarity/pan_cancer_cell_line_communities.tsv	yes	no	yes	yes	Regenerates communities, Leiden communities, community metrics, and lineage-discordant profiles.
compute_pan_cancer_cell_line_leiden_resolution_sweep	cell_line_similarity	Leiden resolution sweep depends on regenerated graph/community outputs.	results/unsupervised/pan_cancer/cell_line_similarity/pan_cancer_cell_line_graph_edges.tsv	cd /work/ugbogu/pipeline && /work/ugbogu/.conda/envs/smk/bin/snakemake --cores 8 --config pipeline_profile=multicohort_cancer --rerun-triggers mtime -- /work/ugbogu/pipeline/results/unsupervised/pan_cancer/cell_line_similarity/pan_cancer_cell_line_leiden_resolution_sweep_summary.tsv	yes	no	yes	yes	Regenerates sweep assignments, summary, and diagnostic PDF.
