direction	metric	numerator	denominator	value	ci_lower	ci_upper	definition	source_path
patient_to_cell_line	top1_accuracy	1113	1128	0.986702127659574			Fraction of retained patient tumours whose top-ranked cell-line identity had the same cancer type	results/unsupervised/pan_cancer/ranking/ranked_marker_source_panel/ranked_marker_source_panel_patient_ranking_metrics.tsv
patient_to_cell_line	top10_accuracy	1123	1128	0.995567375886525			Fraction of retained patient tumours with at least one same-cancer-type cell-line identity in ranks 1--10	results/unsupervised/pan_cancer/ranking/ranked_marker_source_panel/ranked_marker_source_panel_patient_ranking_metrics.tsv
patient_to_cell_line	mrr_all_ranks		1128	0.989825287498160			Mean reciprocal rank of the first same-cancer-type cell-line identity without truncation	results/unsupervised/pan_cancer/ranking/ranked_marker_source_panel/ranked_marker_source_panel_patient_ranking_metrics.tsv
patient_to_cell_line	mrr_at10		1128	0.989526694247439	0.983830464440504	0.994624519799054	Mean reciprocal rank truncated at rank 10; interval is the reported bootstrap interval	results/unsupervised/pan_cancer/ranking/diagnostics/tumour_to_cellline_mrr_at10_by_cohort.tsv
patient_to_cell_line	median_first_same_cancer_type_rank		1128	1			Median rank of the first same-cancer-type cell-line identity	results/unsupervised/pan_cancer/ranking/diagnostics/tumour_to_cellline_mrr_at10_by_tumour.tsv
cell_line_to_tumour	top1_accuracy	55	56	0.982142857142857	0.905543628506024	0.996840789658025	Fraction of cell-line identities whose top-ranked tumour had the same cancer type; two-sided 95% Wilson interval	results/unsupervised/pan_cancer/ranking/ranked_marker_source_panel/ranked_marker_source_panel_retrieval_accuracy.tsv
cell_line_to_tumour	top10_accuracy	56	56	1			Fraction of cell-line identities with a same-cancer-type tumour in ranks 1--10	results/unsupervised/pan_cancer/ranking/ranked_marker_source_panel/ranked_marker_source_panel_cellline_retrieval_metrics.tsv
cell_line_to_tumour	mrr		56	0.988095238095238			Mean reciprocal rank of the first same-cancer-type tumour	results/unsupervised/pan_cancer/ranking/ranked_marker_source_panel/ranked_marker_source_panel_cellline_retrieval_metrics.tsv
cell_line_to_tumour	balanced_top1_accuracy		3	0.981481481481481			Unweighted mean of BRCA, NBL, and RBL top-ranked agreement	results/unsupervised/pan_cancer/ranking/ranked_marker_source_panel/ranked_marker_source_panel_retrieval_balanced_accuracy.tsv
cell_line_to_tumour	mean_precision_at10		56	0.9875			Mean fraction of the ten highest-ranked tumours having the cell-line cancer type	results/unsupervised/pan_cancer/tumour_mapping/cellline_similarity_precision_bootstrap/cellline_topk_metrics.tsv
cell_line_to_tumour	exception_own_cancer_type_first_rank		1	3			CCLF_PEDS_0051_T ranked a BRCA tumour first but ranked an NBL tumour at rank 3	results/unsupervised/pan_cancer/ranking/diagnostics/cell_line_to_tumour_first_match_ranks.tsv
