cell_line	degree	mean_edge_sim	max_edge_sim	is_outlier	sample_id	cell_tech_id	cell_line_display
IMR_32	6	0.785817237951483	0.8792003816177455	FALSE	NG-A0611_IMR32_libLAB6079	IMR_32	IMR_32
CHP_134	4	0.8313492667474609	0.8524590163934426	FALSE	NG-A0611_CHP134_libLAB6074	CHP_134	CHP_134
LS	4	0.7784409139802824	0.8368574046006524	FALSE	NG-A0611_LS_libLAB6078	LS	LS
KELLY	4	0.7738125722287436	0.8459599790416148	FALSE	NG-A0611_KELLY_libLAB6075	KELLY	KELLY
LAN5	3	0.8401682431479441	0.8792003816177455	FALSE	NG-A0611_LAN5_libLAB6087	LAN5	LAN5
SK_N_BE_2	3	0.8035532048144254	0.8524590163934426	FALSE	NG-A0611_SKNBE2_libLAB6076	SK_N_BE_2	SK_N_BE_2
CHP_126	3	0.7986288971764455	0.8695652173913043	FALSE	NG-A0611_CHP126_libLAB6088	CHP_126	CHP_126
LAN1	3	0.7557969412729024	0.7717391304347826	FALSE	NG-A0611_LAN1_libLAB6085	LAN1	LAN1
CCLF_PEDS_0051_T	1	0.7890625	0.7890625	FALSE	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
GI_ME_N	1	0.7890625	0.7890625	FALSE	NG-A0611_GIMEN_libLAB6073	GI_ME_N	GI_ME_N
LAN2	0	NA	NA	TRUE	NG-A0611_LAN2_libLAB6083	LAN2	LAN2
LAN6	0	NA	NA	TRUE	NG-A0611_LAN6_libLAB6089	LAN6	LAN6
MHH_NB_11	0	NA	NA	TRUE	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	MHH_NB_11
NBL_S	0	NA	NA	TRUE	NG-A0611_NBLS_libLAB6077	NBL_S	NBL_S
NGP	0	NA	NA	TRUE	NG-A0611_NGP_libLAB6082	NGP	NGP
NMB	0	NA	NA	TRUE	NG-A0611_NMB_libLAB6080	NMB	NMB
SH_SY5Y	0	NA	NA	TRUE	NG-A0611_SHSY5Y_libLAB6081	SH_SY5Y	SH_SY5Y
SIMA	0	NA	NA	TRUE	NG-A0611_SIMA_libLAB6086	SIMA	SIMA
