cell_line	degree	mean_edge_sim	max_edge_sim	is_outlier	sample_id	cell_tech_id	cell_line_display
CHP_126	5	0.8544125110834015	0.8836900335288647	FALSE	NG-A0611_CHP126_libLAB6088	CHP_126	CHP_126
LAN5	4	0.8794340234401019	0.900895205688392	FALSE	NG-A0611_LAN5_libLAB6087	LAN5	LAN5
NGP	4	0.8532022827947995	0.8755639598366681	FALSE	NG-A0611_NGP_libLAB6082	NGP	NGP
IMR_32	4	0.8525194584573199	0.900895205688392	FALSE	NG-A0611_IMR32_libLAB6079	IMR_32	IMR_32
NBL_S	3	0.8591035339906965	0.8848566822799995	FALSE	NG-A0611_NBLS_libLAB6077	NBL_S	NBL_S
MHH_NB_11	3	0.8396255679269953	0.8606497159679709	FALSE	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	MHH_NB_11
SIMA	3	0.8285394029625306	0.8708095104858342	FALSE	NG-A0611_SIMA_libLAB6086	SIMA	SIMA
KELLY	2	0.8495126437876124	0.8848566822799995	FALSE	NG-A0611_KELLY_libLAB6075	KELLY	KELLY
CHP_134	1	0.8438322729420347	0.8438322729420347	FALSE	NG-A0611_CHP134_libLAB6074	CHP_134	CHP_134
NMB	1	0.8374997096322182	0.8374997096322182	FALSE	NG-A0611_NMB_libLAB6080	NMB	NMB
LAN6	1	0.8216444092062559	0.8216444092062559	FALSE	NG-A0611_LAN6_libLAB6089	LAN6	LAN6
LS	1	0.8189380538879283	0.8189380538879283	FALSE	NG-A0611_LS_libLAB6078	LS	LS
CCLF_PEDS_0051_T	0	NA	NA	TRUE	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
GI_ME_N	0	NA	NA	TRUE	NG-A0611_GIMEN_libLAB6073	GI_ME_N	GI_ME_N
LAN1	0	NA	NA	TRUE	NG-A0611_LAN1_libLAB6085	LAN1	LAN1
LAN2	0	NA	NA	TRUE	NG-A0611_LAN2_libLAB6083	LAN2	LAN2
SH_SY5Y	0	NA	NA	TRUE	NG-A0611_SHSY5Y_libLAB6081	SH_SY5Y	SH_SY5Y
SK_N_BE_2	0	NA	NA	TRUE	NG-A0611_SKNBE2_libLAB6076	SK_N_BE_2	SK_N_BE_2
